,Enrichment,Site,Horizon,Treatment
BL025_12C.27f,C12,BL,Org,OM1
BL025_13C.27f,C13,BL,Org,OM1
BL026_12C.27f,C12,BL,Min,OM1
BL026_13C.27f,C13,BL,Min,OM1
BL031_12C.27f,C12,BL,Org,OM2
BL031_13C.27f,C13,BL,Org,OM2
BL032_12C.27f,C12,BL,Min,OM2
BL032_13C.27f,C13,BL,Min,OM2
BL037_12C.27f,C12,BL,Org,OM3
BL037_13C.27f,C13,BL,Org,OM3
BL038_12C.27f,C12,BL,Min,OM3
BL038_13C.27f,C13,BL,Min,OM3
BL043_12C.27f,C12,BL,Org,REF
BL043_13C.27f,C13,BL,Org,REF
BL044_12C.27f,C12,BL,Min,REF
BL044_13C.27f,C13,BL,Min,REF
BR049_12C.27f,C12,BR,Org,OM1
BR049_13C.27f,C13,BR,Org,OM1
BR050_12C.27f,C12,BR,Min,OM1
BR050_13C.27f,C13,BR,Min,OM1
BR055_12C.27f,C12,BR,Org,OM2
BR055_13C.27f,C13,BR,Org,OM2
BR056_12C.27f,C12,BR,Min,OM2
BR056_13C.27f,C13,BR,Min,OM2
BR061_12C.27f,C12,BR,Org,OM3
BR061_13C.27f,C13,BR,Org,OM3
BR062_12C.27f,C12,BR,Min,OM3
BR062_13C.27f,C13,BR,Min,OM3
BR067_12C.27f,C12,BR,Org,REF
BR067_13C.27f,C13,BR,Org,REF
BR068_12C.27f,C12,BR,Min,REF
BR068_13C.27f,C13,BR,Min,REF
LH001_12C.27f,C12,LH,Org,OM1
LH001_13C.27f,C13,LH,Org,OM1
LH002_12C.27f,C12,LH,Min,OM1
LH002_13C.27f,C13,LH,Min,OM1
LH007_12C.27f,C12,LH,Org,OM2
LH007_13C.27f,C13,LH,Org,OM2
LH008_12C.27f,C12,LH,Min,OM2
LH008_13C.27f,C13,LH,Min,OM2
LH013_12C.27f,C12,LH,Org,OM3
LH013_13C.27f,C13,LH,Org,OM3
LH014_12C.27f,C12,LH,Min,OM3
LH014_13C.27f,C13,LH,Min,OM3
LH019_12C.27f,C12,LH,Org,REF
LH019_13C.27f,C13,LH,Org,REF
LH020_12C.27f,C12,LH,Min,REF
LH020_13C.27f,C13,LH,Min,REF
